ROI_Type,Y,X
Bleach,205,221
Bleach,205,222
Bleach,205,223
Bleach,205,224
Bleach,205,225
Bleach,206,210
Bleach,206,211
Bleach,206,212
Bleach,206,213
Bleach,206,214
Bleach,206,215
Bleach,206,216
Bleach,206,217
Bleach,206,218
Bleach,206,219
Bleach,206,220
Bleach,206,221
Bleach,206,222
Bleach,206,223
Bleach,206,224
Bleach,206,225
Bleach,206,226
Bleach,207,210
Bleach,207,211
Bleach,207,212
Bleach,207,213
Bleach,207,214
Bleach,207,215
Bleach,207,216
Bleach,207,217
Bleach,207,218
Bleach,207,219
Bleach,207,220
Bleach,207,221
Bleach,207,222
Bleach,207,223
Bleach,207,224
Bleach,207,225
Bleach,208,210
Bleach,208,211
Bleach,208,212
Bleach,208,213
Bleach,208,214
Bleach,208,215
Bleach,208,216
Bleach,208,217
Bleach,208,218
Bleach,208,219
Bleach,208,220
Bleach,208,221
Bleach,208,222
Bleach,208,223
Bleach,208,224
Bleach,208,225
Bleach,208,226
Bleach,209,211
Bleach,209,212
Bleach,209,213
Bleach,209,214
Bleach,209,215
Bleach,209,216
Bleach,209,217
Bleach,209,218
Bleach,209,219
Bleach,209,220
Bleach,209,221
Bleach,209,222
Bleach,209,223
Bleach,209,224
Bleach,209,225
Bleach,209,226
Bleach,210,211
Bleach,210,212
Bleach,210,213
Bleach,210,214
Bleach,210,215
Bleach,210,216
Bleach,210,217
Bleach,210,218
Bleach,210,219
Bleach,210,220
Bleach,210,221
Bleach,210,222
Bleach,210,223
Bleach,210,224
Bleach,210,225
Bleach,210,226
Bleach,211,212
Bleach,211,213
Bleach,211,214
Bleach,211,215
Bleach,211,216
Bleach,211,217
Bleach,211,218
Bleach,211,219
Bleach,211,220
Bleach,211,221
Bleach,211,222
Bleach,211,223
Bleach,211,224
Bleach,211,225
Bleach,211,226
Bleach,212,211
Bleach,212,212
Bleach,212,213
Bleach,212,214
Bleach,212,215
Bleach,212,216
Bleach,212,217
Bleach,212,218
Bleach,212,219
Bleach,212,220
Bleach,212,221
Bleach,212,222
Bleach,212,223
Bleach,212,224
Bleach,212,225
Bleach,212,226
Bleach,212,227
Bleach,213,210
Bleach,213,211
Bleach,213,212
Bleach,213,213
Bleach,213,214
Bleach,213,215
Bleach,213,216
Bleach,213,217
Bleach,213,218
Bleach,213,219
Bleach,213,220
Bleach,213,221
Bleach,213,222
Bleach,213,223
Bleach,213,224
Bleach,213,225
Bleach,213,226
Bleach,213,227
Bleach,213,228
Bleach,214,211
Bleach,214,212
Bleach,214,213
Bleach,214,214
Bleach,214,215
Bleach,214,216
Bleach,214,217
Bleach,214,218
Bleach,214,219
Bleach,214,220
Bleach,214,221
Bleach,214,222
Bleach,214,223
Bleach,214,224
Bleach,214,225
Bleach,214,226
Bleach,214,227
Bleach,214,228
Bleach,214,229
Bleach,215,212
Bleach,215,213
Bleach,215,214
Bleach,215,215
Bleach,215,216
Bleach,215,217
Bleach,215,218
Bleach,215,219
Bleach,215,220
Bleach,215,221
Bleach,215,222
Bleach,215,223
Bleach,215,224
