ROI_Type,Y,X
Bleach,116,167
Bleach,116,168
Bleach,116,169
Bleach,116,170
Bleach,116,171
Bleach,116,172
Bleach,116,173
Bleach,116,174
Bleach,116,175
Bleach,116,176
Bleach,116,180
Bleach,116,181
Bleach,116,182
Bleach,116,183
Bleach,116,184
Bleach,116,190
Bleach,116,192
Bleach,116,193
Bleach,116,194
Bleach,116,195
Bleach,116,196
Bleach,116,197
Bleach,116,198
Bleach,116,199
Bleach,116,200
Bleach,116,201
Bleach,116,202
Bleach,116,203
Bleach,116,204
Bleach,116,205
Bleach,116,206
Bleach,116,207
Bleach,116,208
Bleach,116,209
Bleach,116,210
Bleach,116,211
Bleach,116,212
Bleach,116,213
Bleach,116,214
Bleach,116,215
Bleach,116,216
Bleach,116,217
Bleach,116,218
Bleach,116,219
Bleach,116,220
Bleach,116,221
Bleach,116,222
Bleach,116,223
Bleach,116,224
Bleach,116,225
Bleach,116,226
Bleach,116,227
Bleach,116,228
Bleach,116,229
Bleach,116,230
Bleach,116,231
Bleach,116,232
Bleach,117,163
Bleach,117,164
Bleach,117,165
Bleach,117,166
Bleach,117,167
Bleach,117,168
Bleach,117,169
Bleach,117,170
Bleach,117,171
Bleach,117,172
Bleach,117,173
Bleach,117,174
Bleach,117,175
Bleach,117,176
Bleach,117,177
Bleach,117,179
Bleach,117,180
Bleach,117,181
Bleach,117,182
Bleach,117,183
Bleach,117,184
Bleach,117,185
Bleach,117,189
Bleach,117,190
Bleach,117,191
Bleach,117,192
Bleach,117,193
Bleach,117,194
Bleach,117,195
Bleach,117,196
Bleach,117,197
Bleach,117,198
Bleach,117,199
Bleach,117,200
Bleach,117,201
Bleach,117,202
Bleach,117,203
Bleach,117,204
Bleach,117,205
Bleach,117,206
Bleach,117,207
Bleach,117,208
Bleach,117,209
Bleach,117,210
Bleach,117,211
Bleach,117,212
Bleach,117,213
Bleach,117,214
Bleach,117,215
Bleach,117,216
Bleach,117,217
Bleach,117,218
Bleach,117,219
Bleach,117,220
Bleach,117,221
Bleach,117,222
Bleach,117,223
Bleach,117,224
Bleach,117,225
Bleach,117,226
Bleach,117,227
Bleach,117,228
Bleach,117,229
Bleach,117,230
Bleach,117,231
Bleach,117,232
Bleach,118,164
Bleach,118,165
Bleach,118,166
Bleach,118,167
Bleach,118,168
Bleach,118,169
Bleach,118,170
Bleach,118,171
Bleach,118,172
Bleach,118,173
Bleach,118,174
Bleach,118,175
Bleach,118,176
Bleach,118,177
Bleach,118,178
Bleach,118,179
Bleach,118,180
Bleach,118,181
Bleach,118,182
Bleach,118,183
Bleach,118,184
Bleach,118,185
Bleach,118,186
Bleach,118,188
Bleach,118,189
Bleach,118,190
Bleach,118,191
Bleach,118,192
Bleach,118,193
Bleach,118,194
Bleach,118,195
Bleach,118,196
Bleach,118,197
Bleach,118,198
Bleach,118,199
Bleach,118,200
Bleach,118,201
Bleach,118,202
Bleach,118,203
Bleach,118,204
Bleach,118,205
Bleach,118,206
Bleach,118,207
Bleach,118,208
Bleach,118,209
Bleach,118,210
Bleach,118,211
Bleach,118,212
Bleach,118,213
Bleach,118,214
Bleach,118,215
Bleach,118,216
Bleach,118,217
Bleach,118,218
Bleach,118,219
Bleach,118,220
Bleach,118,221
Bleach,118,222
Bleach,118,223
Bleach,118,224
Bleach,118,225
Bleach,118,226
Bleach,118,227
Bleach,118,228
Bleach,118,229
Bleach,118,230
Bleach,118,231
Bleach,119,165
Bleach,119,166
Bleach,119,167
Bleach,119,168
Bleach,119,169
Bleach,119,170
Bleach,119,171
Bleach,119,172
Bleach,119,173
Bleach,119,174
Bleach,119,175
Bleach,119,176
Bleach,119,177
Bleach,119,179
Bleach,119,180
Bleach,119,181
Bleach,119,182
